University of Moratuwa,"79.9008, 6.7964"
LabSIG UNGS,"50.4849078, 3.3370012"
"Geographic Information Science and Systems Research Group, School of Information Technology and Computing, American University of Nigeria","12.4996909, 9.1911318"
Universidad de la República,"-56.176441, -34.902405"
"Open Geospatial Laboratory of Northeast Institute of Geography and Agroecology, CAS","125.400779, 43.99896"
Università di Genova - Laboratorio di Geomatica,"8.962795, 44.400133"
French Space Agency CNES,"1.481608, 43.561984"
"The GI Science Group @ the Department of Geomatics Engineering, University of Calgary","-114.132457, 51.079735"
University College London,"-0.133427,51.524773"
"Dpt of IT, Faculty of Computing, Sri Lanka Institute of Information Technology","79.973166667, 6.914866667"
Politecnico di Milano - Polo Territoriale di Como,"9.095939, 45.803516"
Universidad de Las Palmas de Gran Canaria - Escuela de Ingenierías Industriales y Civiles - Grado en Ingenieria Geomática y Topografía,"-15.456207, 28.069303"
"National Environmental Modeling and Analysis Center (NEMAC), UNC Asheville","-82.55149, 35.59506"
"Remote Sensing & GIS, Asian Institute of
Technology","100.612086, 14.079753"
University of Kansas,"-95.251311, 38.958578"
"GIS Lab of Ewha Womans University Dept of Social Studies (Geography), Ewha Womans University","126.946214, 37.5650726"
Geometa Lab at HSR - University of Applied Sciences Rapperswil,"8.81690, 47.22341"
"Global Studies and Collaboration(GSC), Aoyama Gakuin University","139.4030, 35.5664"
IGAD Climate Prediction and Applications Center,"36.821946,-1.292066"
"Laboratorio Geoespacial Livre, Federal University of Paraná","-49.23329, -25.45304"
"Center for Geographic Analysis, Harvard University","-71.116913,42.376398"
Universidade da Coruña,"-8.411540, 43.362344"
"Faculty of Geography, University of Bucharest","26.103889, 44.432500"
"Geoinformatics Lab, Department of Civil Engineering PEC University of Technology, Chandigarh, India","76.780893,30.766247"
"Department of Geodesy and Surveying, Budapest University of Technology and Economics","19.054403, 47.481916"
Maynooth University,"53.385066, -6.601791"
"University of Belgrade, Faculty of Civil Engineering, Department of geodesy and geoinformatics","20.476321, 44.805499"
UNEP/GRID Warsaw Centre,"21.039473, 52.198849"
"Lakeland Community College, Geography and Geospatial Technology","41.6333, -81.3666"
"GeoDa Center for Geospatial Analysis and Computation, Arizona State University","-111.940005, 33.425510"
"University of Zagreb, Faculty of Geodesy","15.963888, 45.808500"
University of Ghana,"-0.191617, 5.650366"
"Dept. of Geoinformatics, Palacký University Olomouc","17.26551,49.593812"
University of Massachusetts Amherst,"-72.524696, 42.393578"
A World Bridge,"-156.779008 , 71.289655"
Laboratorio Dati Economici Storici Territoriali University of Siena,"11.332129,43.312688"
"Geospatial Research and Education Lab(GREL), Institute of Space Technology (IST)","73.175045, 33.520060"
"Lab for Spatial Informatics, IIIT Hyderabad","78.3503, 17.4454"
"Faculty of Geomatics, Sabaragamuwa University of Sri Lanka","80.78995, 6.7102"
Laboratorio de Software Libre,"-102.5791, 22.7608"
GeoBolivia-Vice-presidency of the State,"-68.1547, -16.4949"
University of Applied Sciences and Arts of Southern Switzerland (SUPSI),"8.961098, 46.028362"
Czech Technical University in Prague,"14.390363, 50.10183"
"Department of Geography and Earth Science, Aberystwyth University","52.416686, -4.066497"
Centre for Research and Technology Hellas - Hellenic Institute of Transport,"22.996707, 40.567811"
University of South Wales,"-3.179090,51.481581"
HEIG-VD GIS-Lab University of Applied Sciences Western Switzerland at Yverdon,"6.65950,46.77938"
Universitat Oberta de Catalunya,"2.173403, 41.385064"
Fudan University,"121.452, 31.198"
"Spatiotemporal Data Research and Education Laboratory Southern Illinois University Edwardsville, Computer Science Department","-90.0009, 38.7917"
"Department of Geography, Geoinformatics and Meteorology, University of Pretoria","28.22847, -25.75429"
School of Science & Technology GeoForAll Lab of The University of Fiji,"177.4079991,-17.6686835"
Portland State University,"-122.676207,45.523452"
Federal University of Ceará,"-38.543395,-3.718394"
Community Mapping Lab Green Mountain College,"-73.240679, 43.515866"
"Laboratorio de Geomática de la Universidad Nacional de Colombia, Sede Bogotá","-74.08731, 4.63600"
"Centro de Investigación en Recursos Naturales y Sustentabilidad (CIRENYS), Universidad Bernardo O Higgins","-70.656918, -33.467547"
"Centre for Spatial Information Science(CSIS), University of Tokyo","139.938952, 35.902681"
"Department of Earth Sciences, University of Gothenburg","57.688529,, 11.966565"
